##0 OTH
ngủ I-TT
, OTH
quấy B-TT
khóc I-TT
, OTH
run B-TT
chi I-TT
, OTH
giật B-TT
mình I-TT
nhiều I-TT
một OTH
cách OTH
bất OTH
thường OTH

giai OTH
đoạn OTH
toàn OTH
phát OTH

( OTH
có OTH
thể OTH
kéo OTH
dài OTH
3-10 OTH
ngày OTH
) OTH
với OTH
các OTH
triệu OTH
chứng OTH
điển OTH
hình OTH
của OTH
bệnh OTH
giai OTH
đoạn OTH
lui OTH
bệnh OTH
: OTH
thường OTH
từ OTH
3-5 OTH
ngày OTH
sau OTH
, OTH
trẻ OTH
hồi OTH
phục OTH
hoàn OTH
toàn OTH
nếu OTH
không OTH
có OTH
biến OTH
chứng OTH

loét B-TT
miệng I-TT
: OTH
vết OTH
loét OTH
đỏ OTH
hay OTH
phỏng OTH
nước OTH
đường OTH
kính OTH
2-3 OTH
mm OTH
ở OTH
trong OTH
miệng OTH
, OTH
lợi OTH
, OTH
lưỡi OTH

các OTH
vết OTH
loét OTH
gây OTH
đau B-TT
miệng I-TT
, OTH
khiến OTH
trẻ OTH
bỏ B-TT
ăn I-TT
, OTH
bỏ B-TT
bú I-TT
, OTH
tăng OTH
tiết OTH
nước OTH
bọt OTH

phát B-TT
ban I-TT
dạng I-TT
phỏng I-TT
nước I-TT
: OTH
ở OTH
lòng OTH
bàn OTH
tay OTH
, OTH
lòng OTH
bàn OTH
chân OTH
, OTH
gối OTH
, OTH
mông OTH

tồn OTH
tại OTH
trong OTH
thời OTH
gian OTH
ngắn OTH

( OTH
dưới OTH
7 OTH
ngày OTH
) OTH

sau OTH
đó OTH
có OTH
thể OTH
để OTH
lại OTH
vết OTH
thâm OTH
, OTH
rất OTH
hiếm OTH
khi OTH
loét OTH
hay OTH
bội OTH
nhiễm OTH

bóng OTH
nước OTH
lòng OTH
bàn OTH
tay OTH
và OTH
lòng OTH
bàn OTH
chân OTH
có OTH
thể OTH
lồi OTH
lên OTH
trên OTH
da OTH
và OTH
sờ OTH
có OTH
cảm OTH
giác OTH
cộm OTH
hoặc OTH
ẩn OTH
dưới OTH
da OTH
, OTH
ấn OTH
vào OTH
thường OTH
không OTH
đau OTH

biến OTH
chứng OTH
thần OTH
kinh OTH
, OTH
tim OTH
mạch OTH
, OTH
hô OTH
hấp OTH
thường OTH
xuất OTH
hiện OTH
sớm OTH
từ OTH
ngày OTH
thứ OTH
2 OTH
đến OTH
ngày OTH
thứ OTH
5 OTH
của OTH
bệnh OTH

tuy OTH
nhiên OTH
, OTH
cũng OTH
có OTH
những OTH
trẻ OTH
mắc OTH
bệnh OTH
nhưng OTH
không OTH
có OTH
những OTH
dấu OTH
hiệu OTH
điển OTH
hình OTH
như OTH
trên OTH

nếu OTH
thấy OTH
các OTH
triệu OTH
chứng OTH
nghi OTH
ngờ OTH
mắc OTH
bệnh OTH
tay OTH
– OTH
chân OTH
– OTH
miệng OTH
, OTH
bạn OTH
nên OTH
đưa OTH
con OTH
đi OTH
khám OTH
, OTH
xét OTH
nghiệm OTH
máu OTH
giúp OTH
khẳng OTH
định OTH
chính OTH
xác OTH
bị OTH
bệnh OTH
do OTH
virut OTH
tay OTH
chân OTH
miệng OTH
( OTH
dương OTH
tính OTH
) OTH
hay OTH
không OTH

##11 OTH
tùy OTH
thuộc OTH
vào OTH
từng OTH
nguyên OTH
nhân OTH
, OTH
bạn OTH
có OTH
thể OTH
nhận OTH
thấy OTH
các OTH
triệu OTH
chứng OTH
như OTH
: OTH
vàng B-TT
da I-TT
, OTH
vàng B-TT
mắt I-TT

đau B-TT
bụng I-TT

mệt B-TT
mỏi I-TT
và OTH
yếu OTH
đuối OTH

buồn B-TT
nôn I-TT

sụt B-TT
cân I-TT

ho B-TT
kéo OTH
dài OTH
hơn B-TG
3 I-TG
tuần I-TG

##12 OTH
ho B-TT
kéo OTH
dài OTH
trên B-TG
2 I-TG
tuần I-TG

( OTH
ho B-TT
khan I-TT
, OTH
ho B-TT
có I-TT
đờm I-TT
, OTH
ho B-TT
ra I-TT
máu I-TT
) OTH
là OTH
triệu OTH
chứng OTH
nghi OTH
lao OTH
quan OTH
trọng OTH
nhất OTH

lúc OTH
đầu OTH
có OTH
thể OTH
ho B-TT
khan I-TT
, OTH
ho B-TT
dai I-TT
dẳng I-TT
, OTH
thường OTH
vào B-TG
buổi I-TG
sáng I-TG

dần OTH
dần OTH
, OTH
sau OTH
cơn OTH
ho  B-TT
có  OTH
thể OTH
có OTH
đàm OTH
nhớt OTH
, OTH
đàm OTH
mủ OTH
, OTH
lượng OTH
đàm OTH
tăng OTH
và OTH
thành OTH
mủ OTH

ho B-TT
ra I-TT
máu I-TT
: OTH
khi OTH
bệnh OTH
đã OTH
đến OTH
giai OTH
đoạn OTH
nặng OTH

mệt B-TT
mỏi I-TT
: OTH

gầy B-TT
sút I-TT
: OTH
sụt B-TT
cân I-TT
nhanh I-TT
, OTH
đôi OTH
khi OTH
không OTH
kèm OTH
biếng OTH
ăn OTH
nhưng OTH
cơ OTH
thể OTH
lại OTH
gầy OTH
nhanh OTH
chóng OTH
, OTH
đây OTH
là OTH
triệu OTH
chứng OTH
quan OTH
trọng OTH


sốt B-TT
nhẹ I-TT
về OTH
chiều B-TG
: OTH
sốt B-TT
không I-TT
đều I-TT
, OTH
thường OTH
tăng OTH
dần OTH
khi OTH
về OTH
chiều OTH


ra B-TT
mồ I-TT
hôi I-TT
trộm I-TT
ban B-TG
đêm  I-TG


đau B-TT
ngực I-TT
: OTH
đau OTH
âm OTH
ỉ OTH
hoặc OTH
đột OTH
ngột OTH
nhói OTH
đau OTH
tăng OTH
lên OTH
khi OTH
hít OTH
sâu OTH
, OTH
khi OTH
ho B-TT
hoặc OTH
khi OTH
cử OTH
động OTH
mạnh OTH


khó B-TT
thở I-TT

mệt B-TT
mỏi I-TT
về OTH
tinh OTH
thần OTH
và OTH
thể OTH
xác OTH
, OTH
không OTH
giảm OTH
khi OTH
nghỉ OTH
ngơi OTH
và OTH
tăng OTH
dần OTH
vào OTH
buổi OTH
chiều OTH
và OTH
dai OTH
dẳng OTH
